VN30,ACB,FPT,HDB,HPG,MBB,MSN,MWG,POW,SHB,STB,TCB,TPB,VHM,VIB,VIC,VNM,VPB,VRE
"1,317.69",24.4,133.5,27.1,26.15,24.75,77.5,69.8,13.75,10.7,29.95,22,17.9,39.75,21.35,41.85,75.3,18.75,18.9
"1,299.04",24.05,130.5,27,25.85,24.05,77.8,69,13.5,10.6,29.65,21.9,17.5,38.6,21.5,41.15,76,18.45,18.3
"1,291.68",24,130.6,27.05,25.6,24.05,77.3,69,13.45,10.6,29.35,21.45,17.5,38.4,21.15,41.15,73.8,18.4,18.3
"1,265.32",23.5,128.7,26.15,25.2,23.25,75,65.9,13.05,10.4,28.95,21.15,17.1,37.85,20.8,40.8,73.8,18,17.8
"1,270.38",23.55,129.5,25.9,25.45,23.4,76.5,66.6,13.35,10.45,29.2,21.2,17.2,37.2,20.6,40.8,74,18,18
"1,268.72",23.6,129.7,25.95,25.4,23.6,74.8,66.7,13.4,10.5,29.15,21,17.25,36.35,20.55,40.7,73.8,18.15,17.45
"1,271.44",23.8,130,25.55,25.85,23.7,75.2,66.6,13.6,10.5,29.2,21.25,17.25,36.5,20.8,40.6,73,18.15,17.4
"1,264.84",23.6,126.9,25.5,26.05,23.45,75.2,65.6,13.85,10.5,28.85,21.1,17.1,37.2,20.9,41.2,73.3,18,17.5
"1,243.31",23.25,121.4,24.95,25.6,23.05,74.5,62.4,13.8,10.4,28.25,20.85,16.9,37.6,20.65,41.8,72.7,17.85,17.65
"1,253.58",23.4,122,24.85,26.05,23.35,73,62.3,13.75,10.5,28.4,21.8,17.05,37.2,20.65,42.35,73.8,18,18
"1,252.81",23.5,120.8,24.85,26.3,23.4,73.2,62.3,13.75,10.5,28.4,22.3,17.35,34.8,20.8,41.3,72.7,18.35,17
"1,232.11",23.2,118.6,24.5,25.95,22.95,70.5,61.6,13.3,10.3,27.2,22.3,16.8,34.5,20.25,41.3,69.4,18.15,16.8
"1,272.00",23.95,124.8,25.8,26.7,23.4,71.8,62.1,13.15,10.9,28.05,23,17.7,36.45,20.7,42.1,70.3,18.55,18.2
"1,299.09",24.55,128.6,26.3,27.2,24.4,74.1,63.8,13.45,11.15,29,23.25,18.15,36.7,21.2,42.3,71.6,19,18.6
"1,287.82",24.15,128,25.3,27.9,24.5,74.6,63,13.4,11.1,28.9,22.95,18,36.7,20.6,42.2,67.7,18.55,18.75
"1,285.73",24.15,129,25.25,27.9,24.1,74,62,13.6,11.05,29.1,22.75,18.1,37.1,20.9,41.6,67.2,18.4,18.95
"1,281.84",24.1,128,25.1,27.45,24.3,74,61,13.55,11.1,29.1,22.75,17.85,37.75,20.9,41.6,65.8,18.4,19.3
"1,280.51",24.2,126,25.05,27.7,23.95,71.5,61.4,13.2,11.1,29.2,23,17.95,37.85,21,40.9,65.6,18.5,20.15
"1,278.67",24,125.5,25.05,27.8,23.9,71,62.5,12.85,11,29,23.05,17.75,37.85,21.1,40.85,65.9,18.4,20.05
"1,299.31",24.75,124.1,25.3,28.05,25.2,72.2,65.3,13.45,11.2,30,23.65,18.6,37.9,21.35,40.75,65.4,18.8,20.05
"1,306.38",24.8,127.9,25.1,28.4,24.9,71.2,65,14.2,11.45,30.6,23.7,18,37.45,21.55,40.55,65.9,19.05,20.15
"1,305.37",24.5,131.9,25.2,28.2,24.5,71.8,63.5,13.9,11.85,30.4,23.7,17.85,37.3,21.6,40.6,65.7,19,19.75
"1,303.30",24.1,134,24.75,28.45,23.55,74,64.1,14.9,11.9,29.9,22.7,17.85,37.9,21.3,41.05,66.1,19,20.2
"1,310.91",24.25,134,24.95,28.95,23.3,76.8,65.2,15.05,11.85,29.85,23.15,17.85,38.25,21.35,40.6,66.8,19.2,20.55
"1,321.78",24.25,139.6,24.4,28.8,22.7,76.2,67,15.05,11.7,30.15,23.45,17.75,38,21.3,40.4,67.6,19.05,20.3
"1,316.18",24.3,138.7,24.4,28.65,22.8,76.7,65.6,14.6,11.75,30.1,23.5,17.7,38.45,21.2,41.4,67.2,19.15,20.8
"1,305.53",24.25,131,24.5,28.75,22.9,76.5,65.5,15.1,11.75,29.9,23.5,17.55,38.1,21.35,41.35,66.2,19,21.3
"1,289.03",23.95,132.8,22.95,28.85,22.5,74.5,63.4,14.75,11.3,29.2,23.45,17.45,37.6,21.15,41,65.3,19,20.4
"1,291.30",24.1,131.8,22.7,28.9,22.5,74,62.6,15.3,11.35,29.5,24,17.55,37.5,21.25,41.2,65.2,19,20.8
"1,288.80",24.05,130,22.6,28.7,22.6,73.9,62,15,11.4,29.6,24,17.55,37.8,21.3,41.2,65.5,19,21.3
"1,289.85",24.1,132.1,22.35,28.7,22.65,73.7,62,15,11.3,29.5,23.95,17.4,37.45,21.3,41.1,65.5,18.85,19.95
"1,319.93",24.55,136.1,23.15,29.05,23.2,76.2,63.5,14.7,11.55,30.65,24.5,18.1,37.75,21.8,41.65,66,19.6,20
"1,322.36",24.8,133.3,23.6,29.35,23.25,75.8,63.5,15.1,11.6,30.75,24.8,18.25,38,22,41.45,66,19.7,20.25
"1,314.22",24.65,131.5,23.7,29.35,23.3,75.6,63.3,14.95,11.6,30.9,24.15,18.04915,38,22,41.5,65.3,19,20.65
"1,309.89",24.55,128,23.7,29.4,23.25,76.2,62.2,14.9,11.6,30.55,24.4,18.0978,38.3,22.05,42.1,65.9,18.6,21.1
"1,309.70",24.55,128.8,23.55,29.45,23.25,76.2,62,13.95,11.65,30.5,24.3,18.04915,38.3,22.05,42,66,18.75,21.15
"1,316.46",24.6,131,23.95,29.1,23.1,78,63,13.75,11.7,30.55,24.55,18.14645,38.2,22.5,42,66.2,18.7,21.45
"1,333.85",24.8,130,24.1,29.5,23.55,78.6,64,14.15,12,31.65,24.7,18.487,38.25,22.9,43.2,66.9,19.45,21.7
"1,331.81",24.55,132,24,29.6,23.1,77.8,63.4,14,11.8,31.35,24.7,17.95185,38.5,22.95,43.3,67,19.4,21.85
"1,308.30",24.15,126.5174,23.55,29.1,22.55,75.8,62.3,14.15,11.65,31.2,24.675,17.7086,38.15,22.9,43.2,66.5,18.3,21.7
"1,311.10",24.4,124.3584,23.9,29.3,22.65,77.1,63,13.65,11.75,31.1,24.45,17.85455,38.9,22.55,43.45,67.2,18.05,22.1
"1,308.03",24.6,122.6312,23.7,29.3,22.45,77.6,62.1,13.95,11.8,30.75,24.55,17.6113,39,22.4,43.5,67.8,18,22.2
"1,302.28",24.35,120.55856,23.7,29.3,22.35,78.1,61.9,13.55,11.85,30.7,24,17.75725,39.05,22.4,43.7,67.2,18.1,22.5
"1,299.66",24.35,120.99036,23.7,29.25,22.2,78.1,62,13.75,11.55,29.6,23.75,17.514,39.3,22.4,44.2,68.5,18.1,22.5
"1,300.99",24.5,120.12676,23.95,29.3,22.5,77.5,63.8,14,11.55,29.95,23.8,17.56265,39.4,22.4,44.1,66,18.2,22.1
"1,297.78",24.8,118.22684,24,29,22.6,77.7,64,13.45,11.65,29.75,23.575,17.56265,39.3,22.3,43.95,66.1,18.3,22.3
"1,275.97",24.65,116.24056,23.25,28.6,21.75,76.6,63.6,12.6,11.4,27.85,23.5,17.17345,38.85,21.75,43.55,65.4,18,21.75
"1,279.29",24.696,116.586,23.1,28.25,21.85,77.2,62.8,12.8,11.4,27.85,23.4,17.2221,39,22,43.15,65.7,17.95,21.6
"1,284.02",24.57,117.19052,23.45,28.6,22.3,75,60.5,12.55,11.55,28.25,23.25,17.2221,39.45,21.9,44.4,66.3,18.05,22.15
"1,299.75",24.906,118.3132,24.15,29.15,22.6,75.5,61.5,12.45,11.7,28.85,23.45,17.36805,39.95,22.3,45.05,66.8,18.05,22.45
"1,284.88",24.738,114.68608,23.8,28.9,22.45,73.5,60,12.1,11.6,28.7,23.25,17.2221,39.8,22,45.05,66.1,18,22.3
"1,283.46",24.57,113.90884,24.2,28.9,22.45,73.5,60.5,11.35,11.55,28.7,23.2,17.27075,39.8,22,44.95,66,18,22.3
"1,304.76",23.898,118.745,24.7,29.5,22.8,75.8,62,11.55,11.75,28.55,23.25,17.8059,40.55,22.25,45.55,67,18.5,23
"1,291.46",23.478,119.1768,24.35,28.45483,22.69888,73.9,61,11.35,11.65,28,23.2,17.65995,40.35,22.2,45.5,65.8,18.3,23.15
"1,308.62",23.688,117.4496,24.7,28.954835,23.09024,75.8,60.5,11.3,11.85,28.3,23.6,17.85455,40.2,22.6,46.45,66.2,18.8001,23.15
"1,312.55",23.73,114.8588,24.85,29.0912,22.94348,76.4,60,11.35,11.85,28.3,24.09953,17.95185,40.45,22.5,46.7,66.4,18.8001,22.85
"1,310.15",23.73,116.1542,24.3,28.72756,22.7478,75.5,59.6,11.25,12,28.5,24.123775,17.9032,40.85,22.3,46.85,67,18.4203,23.1
"1,308.27",23.73,116.93144,24.2,28.72756,22.89456,72.4,59.9,11.15,11.85,28.4,24.19651,17.85455,40.25,22.3,46.75,67.2,18.4203,22.65
"1,289.97",23.268,115.80876,23.5,28.36392,22.40536,72.2,60.8,11,11.6,27.8,23.32369,17.46535,40.25,21.85,46.35,67,18.087975,22.35
"1,277.31",23.31,112.6998,23.3,27.45482,22.35644,70.6,60.1,10.95,11.6,27.25,23.22671,17.514,40.15,21.75,46.05,66.5,18.13545,22.25
"1,272.53",23.268,112.00892,23.25,27.45482,22.16076,70.8,58.3,11,11.65,27.25,23.46916,17.514,40.1,21.35,45,65.8,17.8506,22.25
"1,277.47",23.268,113.1316,23.7,27.682095,22.11184,70.8,58.9,10.95,11.6,27.6,23.51765,17.6113,40.35,21.55,45,66.5,17.56575,22.5
"1,281.47",23.184,112.52708,23.7,27.682095,22.16076,71.4,58.9,11.1,11.75,27.8,23.493405,17.65995,40.95,21.6,45.4,66.6,17.803125,22.85
"1,284.85",23.142,113.1316,24.1,27.90937,22.06292,72.3,59.1,11.15,11.9,27.95,23.37218,17.27075,40.9,21.55,45.4,67.9,17.613225,23.2
"1,284.85",23.226,113.39068,24.3,27.409365,22.2586,71.2,59.3,11.1,11.65,28.3,23.22671,17.27075,41.05,21.7,45,68,17.8506,23.35
"1,274.62",23.184,110.19536,24.3,26.63663,22.40536,71.1,58.3,11.1,11.75,28.1,23.444915,17.3194,41.15,21.7,44.75,65.8,17.803125,23.35
"1,255.62",23.1,108.72724,24.45,26.045715,21.91616,69.8,55.7,10.95,11.6,27.55,23.37218,17.0275,41.1,21.2,44.45,65.6,17.4708,23.4
"1,247.21",22.68,109.93628,23.65,25.772985,21.91616,68,55.6,11.1,11.7,27.6,22.717565,17.17345,41.15,21.4,44.4,65.4,17.37585,22.75
"1,240.50",22.554,106.39552,23.6,25.81844,21.7694,67.2,54.9,10.5,11.45,28.2,22.59634,17.4167,40.8,21.1,44.45,65,17.613225,22.45
"1,233.72",22.512,106.39552,22.5,25.954805,21.7694,68.1,53.8,10.55,11.1,28.45,22.378135,17.46535,40.7,21.15,42,64.7,17.6607,22.55
"1,232.17",22.722,103.71836,22.4,26.18208,22.06292,66.9,52.3,10.65,11.2,28.6,22.7903,17.514,40.6,21.4,41.6,64,17.6607,22.55
"1,200.37",22.386,96.98228,22.2,25.09116,21.5248,64.7,49.8,10.45,10.95,27.8,22.40238,16.78425,40.2,21,41,63.5,17.4708,21.9
"1,206.64",22.512,95.25508,22.4,25.4548,22.11184,66.9,48.6,10.65,11.25,27.65,21.941725,17.0275,41.45,21.2,42,64,17.37585,22.4
"1,194.03",22.344,94.1324,22.25,25.27298,22.20968,66.5,48.2,10.6,11.15,26.8,21.57805,16.1518,41.5,21.1,42.6,64.2,17.18595,21.3
"1,210.74",22.47,96.55048,23,25.4548,22.60104,66.8,49.4,10.95,11.1,26.8,21.747765,16.541,41.8,21.5,45,64.2,17.233425,22
"1,232.70",22.806,97.5868,23.5,25.772985,23.38376,66.1,49.9,10.9,11.5,27.3,22.06295,17.1248,42.7,21.90056,46.4,64,17.803125,22.2
"1,227.90",22.554,96.37776,23.5,25.90935,22.89456,66.9,49.9,11.15,11.35,27.5,21.52956,17.0275,42.4,21.852,47,64.9,17.6607,22.5
"1,284.74",23.52,99.7458,24.3,27.227545,24.11756,71.9,52,11.25,11.3,29.1,22.98426,18.1951,44.5,22.92032,48.45,66.7,18.70515,24.15
"1,262.86",22.806,99.22764,24,27.18209,23.237,71.8,52.3,11.2,11.1,28.85,21.86899,17.85455,44.15,22.24048,48.3,66.6,18.372825,23.9
"1,263.82",22.764,98.27768,23.95,26.954815,23.28592,72.5,52,11.3,11.2,29.1,22.135685,17.85455,44.2,22.24048,48.5,66.8,18.372825,24.25
"1,266.92",22.932,97.5868,23.95,27.18209,23.4816,73.5,52.8,11.3,11.2,29.15,22.20842,18.0978,43.2,22.38616,47.7,67,18.372825,24.2
"1,254.72",22.806,97.24136,23.9,26.90936,22.9924,71.9,50,11.2,11.1,29,22.06295,17.75725,43,22.04624,47.7,67,18.4203,23.6
"1,257.78",22.806,98.19132,23.35,26.772995,22.84564,71.9,51,11.25,11.15,29.6,21.91748,17.7086,42.95,22.04624,47.8,67.9,18.467775,24.7
"1,267.65",23.142,98.4504,23.35,26.90936,23.28592,73.4,50.7,11.3,11.2,29.7,22.3054,17.9032,43,22.53184,47.85,68.2,18.32535,25.3
"1,274.27",23.52,99.40036,23.4,27.227545,23.67728,73.4,50.2,11.4,11.25,30.1,22.69332,18.0005,43.1,22.87176,47.75,66.7,18.372825,25.5
"1,292.30",23.856,101.0412,23.9,27.63664,24.26432,74.5,51.6,11.55,11.4,30.2,23.105485,18.34105,43.15,23.40592,47.8,67.3,18.562725,25.55
"1,292.62",23.898,100.86848,24,27.36391,24.36216,73.4,51.4,11.35,11.45,31.4,23.008505,18.24375,42.9,23.60016,47.85,67,18.657675,25.7
"1,296.90",23.94,100.6094,24.1,27.500275,24.85136,74.2,51.1,11.4,11.4,31.6,23.056995,18.5843,42.85,23.89152,47.65,67.6,18.752625,25.85
"1,303.20",23.814,101.12756,24.25,27.773005,24.9492,76,51,11.45,11.6,32,23.2752,18.5843,43.3,23.5516,47.6,67.7,18.657675,25.65
"1,288.77",23.52,99.48672,24.15,27.81846,24.75352,75.4,50.7,11.45,11.5,30.9,22.087195,18.6816,42.5,23.50304,47.05,67.7,18.6102,25.95
"1,286.23",23.478,99.314,24.2,27.773005,24.7046,74,48.65,11.45,11.5,31,22.281155,18.63295,42.75,23.64872,47.05,67.7,18.6102,26.4
"1,270.00",23.1,98.4504,23.55,27.45482,24.16648,75.5,48.3,11.4,11.45,30.85,21.72352,18.487,42.55,23.26024,46.85,67.3,17.94555,26.05
"1,284.14",23.646,99.22764,23.8,27.773005,24.50892,78.5,49.1,11.5,11.55,31.65,21.77201,18.24375,42.8,23.50304,46.6,67.8,17.8506,26.7
"1,281.57",23.52,100.35032,23.9,27.500275,24.2154,78,48.5,11.4,11.45,31.5,21.86899,18.24375,42.9,23.60016,46.5,68.4,17.803125,26.95
"1,259.06",23.1,98.8822,22.6,27.273,23.62836,77.3,48,11.4,11.35,31.15,20.51127,18.0978,42.5,22.92032,46.5,68,17.708175,26.35
"1,234.74",22.554,96.7232,22.35,27.09118,22.69888,77.4,45.5,11.25,11.2,30.4,19.54147,17.7086,42.9,21.46352,47,67.8,17.233425,26.75
"1,235.74",22.596,97.5868,22.3,26.90936,22.69888,77.9,45.9,11.3,11.15,30.25,19.44449,17.8059,42.1,21.6092,46.1,67.9,17.2809,27.55
"1,256.42",22.974,100.1776,23,27.36391,23.28592,78.5,47.35,11.45,11.4,30.5,20.07486,18.2924,42.4,21.852,44.4,68.8,17.708175,25.75
"1,260.32",22.89,101.0412,22.95,27.591185,22.94348,78.9,47.25,11.6,11.45,30.45,20.07486,18.24375,42.9,21.07504,45.95,69.5976,17.8506,25.9
"1,272.28",23.226,101.0412,23.1,28.00028,23.33484,80.9,48.55,11.6,11.55,30.85,20.3658,18.487,42.95,21.41496,45,69.89376,18.087975,25.9
"1,242.23",22.47,96.63684,22.95,27.45482,22.60104,78.7,46.75,11.5,11.3,30.25,19.97788,18.0005,42.7,20.68656,44.15,69.104,17.613225,25.2
"1,235.12",22.47,94.996,23.1,27.18209,22.45428,77.5,46.4,11.6,11.4,30.2,19.58996,18.0005,42.55,20.68656,44.35,69.40016,17.613225,24.5
"1,250.20",22.722,94.996,23,27.54573,23.09024,78.5,47.75,11.7,11.7,30.65,19.8809,18.0978,42.55,20.92936,44.8,69.104,18.0405,25.4
"1,276.56",23.1,96.11868,23.15,28.1821,23.87296,80.8,49,11.85,11.9,31.3,20.65674,18.73025,43.2,21.22072,45.6,71.0784,18.467775,26
"1,271.07",23.184,94.21876,23.45,28.00028,24.06864,76.9,48.7,11.9,11.8,31.55,20.729475,18.6816,43.1,21.26928,45.3,70.88096,18.4203,25.85
"1,280.17",23.478,95.60052,23.5,28.318465,24.06864,75.7,50,11.85,11.85,31.9,20.46278,18.8762,43.65,21.46352,45.3,72.0656,18.752625,26.7
"1,268.53",23.352,96.20504,23.3,28.00028,23.67728,70.8,47.4,11.85,11.85,31.75,20.293065,19.0708,43.95,21.3664,45.25,71.0784,18.6102,27
"1,267.07",23.352,95.68688,23.3,28.045735,23.4816,70.5,46.6,11.75,11.9,31.95,20.293065,19.31405,43.95,21.26928,45.25,70.5848,18.657675,26.65
"1,265.75",23.52,94.1324,23.3,28.1821,23.62836,70.4,46.2,11.65,11.8,31.55,20.46278,19.31405,43.4,21.26928,45,71.0784,18.89505,26.5
"1,265.35",23.52,93.7006,23.2,27.81846,23.87296,68.3,45.3,11.8,11.9,31.4,20.46278,19.46,44.4,21.46352,45.6,71.27584,18.89505,27.8
"1,247.91",23.184,93.18244,22.7,27.591185,23.7262,67.6,44.75,11.75,11.9,30.75,20.341555,18.63295,44.2,21.31784,45.15,71.0784,18.372825,26.4
"1,233.31",23.1,93.2688,22.7,26.18208,23.4816,66.7,44.35,11.55,11.75,30.5,19.97788,18.63295,43.35,21.31784,44.6,70.0912,18.277875,26
