CW,TCPH,GDCC,Trần,Sàn,TC,Giá 3,KL 3,Giá 2,KL 2,Giá 1,KL 1,Giá,KL,+/-,+/- (%),Giá 1,KL 1,Giá 2,KL 2,Giá 3,KL 3,Tổng KL,Cao,Thấp,CK,Giá,Điểm hoà vốn,ĐHV-Giá TT,Giá TH,Tỉ lệ chuyển đổi
CACB2304,BSC,23/09/2024,2720,1380,2050,2070,100000,2080,90000,2090,80000,2010,100,-40,-1.95,2120,100000,2160,50000,2200,50000,4100,2050,2010,ACB,24450,24.39,-0.06,19323,2.5204:1
CACB2305,SSI,7/10/2024,1240,580,910,890,532400,900,454000,910,458700,920,500,10,1.1,920,4000,930,462800,940,509200,150000,920,880,ACB,24450,24.8,0.35,20163,5.0408:1
CACB2402,SSI,10/10/2024,1250,10,400,380,454600,390,459600,400,454100,410,700,10,2.5,420,460300,430,554700,440,453800,146500,410,370,ACB,24450,26.82,2.37,26000,2:01
CFPT2314,SSI,7/1/2025,6970,4830,5900,5820,135800,5830,31700,5840,32000,5870,400,-30,-0.51,5860,8900,5870,475400,5880,334300,863700,5900,5760,FPT,133100,137.03,3.93,86348,8.6348:1
CFPT2317,VND,19/11/2024,4330,2910,3620,3560,4400,3570,3900,3580,200,3610,200,-10,-0.28,3620,28400,3630,2300,3640,5600,46400,3620,3550,FPT,133100,133.97,0.87,87212,12.9522:1
CFPT2401,HSC,4/12/2024,3060,920,1990,1890,1800,1900,600,1920,59400,1920,600,-70,-3.52,1930,300,1940,300,1950,1500,344300,1990,1840,FPT,133100,141.35,8.25,124773,8.6348:1
CHPG2316,KIS,19/09/2024,1380,400,890,,,400,100,500,2600,790,100,-100,-11.24,700,4800,790,1100,880,1000,1100,790,500,HPG,26050,29.13,3.08,26258,3.6358:1
CHPG2331,SSI,7/10/2024,710,50,380,380,23000,390,10000,400,107700,400,385400,20,5.26,410,32800,420,72000,440,25900,850300,400,340,HPG,26050,27.63,1.58,25450,5.4537:1
CHPG2332,SSI,7/11/2024,790,130,460,430,6600,440,1000,450,300,470,500,10,2.17,470,29500,480,25100,490,135000,278200,480,430,HPG,26050,28.47,2.42,25905,5.4537:1
CHPG2333,SSI,5/12/2024,850,190,520,490,112300,500,82300,510,10500,520,600,0,0,520,29200,530,69700,540,42600,72000,530,500,HPG,26050,29.19,3.14,26359,5.4537:1
CHPG2334,SSI,7/1/2025,770,290,530,500,33700,510,400,530,19200,530,16100,0,0,540,64300,550,184700,560,107500,245700,540,510,HPG,26050,30.67,4.62,26814,7.2716:1
CHPG2338,KIS,3/10/2024,790,10,300,210,8500,250,1900,260,417900,300,100,0,0,300,18600,340,800,350,29600,117400,300,260,HPG,26050,28.36,2.31,27267,3.6358:1
CHPG2339,KIS,2/1/2025,2490,510,1500,1330,5100,1350,10800,1520,393000,1520,3100,20,1.33,1530,333300,1580,15000,1600,100,454900,1520,1340,HPG,26050,30.23,4.18,27470,1.8179:1
CHPG2342,VND,19/11/2024,910,530,720,690,8500,700,16700,710,10200,720,6600,0,0,720,1300,730,3000,740,4000,56600,720,700,HPG,26050,28.36,2.31,21815,9.0895:1
CHPG2402,ACBS,19/05/2025,1930,610,1270,1150,100,1180,60200,1190,232600,1190,200000,-80,-6.3,1270,1000,1280,62000,1290,17800,946600,1300,1190,HPG,26050,31.42,5.37,28177,2.7268:1
CHPG2403,HSC,4/3/2025,840,10,390,350,44100,360,36500,370,10000,390,30900,0,0,390,68800,400,88300,410,87000,482300,390,340,HPG,26050,32.06,6.01,30500,4:01
CHPG2404,SSI,10/10/2024,1010,10,110,70,616100,80,1463500,90,283900,90,320000,-20,-18.18,100,33600,110,1472500,120,684700,1290400,100,90,HPG,26050,32.18,6.13,32000,2:01
CHPG2405,SSI,12/11/2024,1060,10,160,140,484500,150,455000,160,31200,160,41000,0,0,170,727300,180,505700,190,679400,4767000,170,120,HPG,26050,33.32,7.27,33000,2:01
CMBB2315,SSI,7/1/2025,1990,1130,1560,1540,562900,1550,4400,1560,10000,1570,2000,10,0.64,1570,246300,1580,238000,1590,232200,315600,1580,1500,MBB,24550,25.71,1.16,19569,3.9138:1
CMBB2318,VND,19/09/2024,2200,1340,1770,1750,2800,1760,2400,1770,500,1770,600,0,0,1780,10000,1790,1000,1800,10900,128000,1780,1700,MBB,24550,24.54,-0.01,17612,3.9138:1
CMBB2402,ACBS,19/05/2025,2600,880,1740,1630,17100,1650,200,1660,21900,1710,100,-30,-1.72,1710,3700,1740,3600,1760,100,1368900,1710,1610,MBB,24550,26.83,2.28,23483,1.9569:1
CMBB2403,HSC,4/12/2024,2370,670,1520,1450,100,1460,100,1470,1600,1540,2000,20,1.32,1560,200,1580,400,1600,33000,248800,1560,1470,MBB,24550,26.08,1.53,23000,2:01
CMBB2404,HSC,4/3/2025,2780,1080,1930,1100,300,1360,10000,1690,30000,1810,500,-120,-6.22,1810,2000,1820,1000,1870,30500,57300,1810,1750,MBB,24550,27.12,2.57,23500,2:01
CMSN2313,SSI,7/10/2024,1000,10,460,410,104200,420,213400,430,280900,430,91600,-30,-6.52,440,205300,450,255600,460,245500,901900,500,420,MSN,77900,84.3,6.4,80000,10:01
CMSN2316,KIS,3/10/2024,830,10,290,250,10000,260,14900,270,222200,280,100,-10,-3.45,280,88700,310,2900,320,2000,78500,300,260,MSN,77900,86.78,8.88,83979,10:01
CMSN2317,KIS,2/1/2025,1510,170,840,740,222200,760,1500,770,1300,830,100,-10,-1.19,840,1000,850,1400,910,1100,9400,830,760,MSN,77900,93.51,15.61,86868,8:01
CMSN2401,HSC,4/3/2025,1950,610,1280,1170,30000,1200,5900,1210,48600,1280,100,0,0,1280,4400,1290,100,1300,35000,75300,1310,1220,MSN,77900,92.24,14.34,82000,8:01
CMSN2402,SSI,12/11/2024,2130,10,1050,980,50600,990,100300,1000,197300,1020,500,-30,-2.86,1010,109300,1020,343500,1030,324400,387900,1100,970,MSN,77900,88.1,10.2,83000,5:01
CMSN2403,SSI,12/12/2024,1950,10,870,810,127100,820,252400,830,2500,840,200,-30,-3.45,840,139200,850,342500,860,343400,640700,910,800,MSN,77900,94.2,16.3,90000,5:01
CMWG2314,SSI,7/1/2025,2620,1640,2130,2090,422900,2100,310700,2110,30000,2120,70000,-10,-0.47,2120,167100,2140,34600,2150,405000,666600,2120,2050,MWG,70000,72.62,2.62,51590,9.9211:1
CMWG2401,ACBS,19/05/2025,4160,1700,2930,2820,1000,2830,13500,2840,100,2890,8000,-40,-1.37,2940,500,2950,55000,2980,4000,292500,2890,2820,MWG,70000,76.95,6.95,65479,3.9685:1
CMWG2402,HSC,4/12/2024,3120,1160,2140,,,2000,2000,2050,30000,2130,900,-10,-0.47,2160,500,2270,30000,2300,1000,134100,2130,2040,MWG,70000,74.06,4.06,63495,4.9606:1
CMWG2403,HSC,4/3/2025,3450,1490,2470,,,1500,200,2410,30000,2670,100,200,8.1,2670,29900,,,,,600,2670,2480,MWG,70000,77.73,7.73,64487,4.9606:1
CMWG2404,SSI,10/10/2024,2790,330,1560,1540,239700,1550,178500,1560,300,1560,200,0,0,1570,42100,1580,20300,1590,1000,124900,1560,1440,MWG,70000,74.15,4.15,67960,3.9685:1
CPOW2314,KIS,3/10/2024,1130,190,660,560,24400,570,43400,580,1300,580,38000,-80,-12.12,610,1100,620,6200,630,12800,259400,650,550,POW,13550,14.27,0.72,13111,2:01
CPOW2315,KIS,2/1/2025,1390,450,920,840,3100,860,223200,870,17100,890,34700,-30,-3.26,890,6800,910,1500,920,8100,339200,930,840,POW,13550,15.24,1.69,13456,2:01
CSHB2305,KIS,3/10/2024,290,10,150,100,2500,120,300,130,1800,150,100,0,0,150,15000,160,15000,170,116900,20800,150,140,SHB,10650,12.74,2.09,12025,4.789:1
CSHB2306,KIS,2/1/2025,1220,480,860,660,100,700,100,710,1000,840,100,-20,-2.33,840,9900,850,500,890,300,20600,990,710,SHB,10650,13.85,3.2,12238,1.9156:1
CSTB2313,KIS,19/09/2024,450,10,40,,,10,552700,30,4400,40,300,0,0,40,33100,50,248900,60,200200,545000,50,30,STB,29950,35.76,5.8,35555,5:01
CSTB2328,SSI,7/1/2025,530,30,280,250,462900,260,622200,270,452400,280,300,0,0,280,376300,290,748200,300,480200,869300,280,260,STB,29950,35.24,5.29,33000,8:01
