,CW,TCPH,GDCC,Trần,Sàn,TC,Giá 3,KL 3,Giá 2,KL 2,Giá 1,KL 1,Giá,KL,+/-,+/- (%),Giá 1.1,KL 1.1,Giá 2.1,KL 2.1,Giá 3.1,KL 3.1,Tổng KL,Cao,Thấp,CK,Giá.1,Điểm hoà vốn,ĐHV-Giá TT,Giá TH,Tỉ lệ chuyển đổi,FairValue
0,CACB2304,BSC,23/09/2024,2720.0,1380.0,2050.0,2070.0,100000.0,2080.0,90000.0,2090.0,80000.0,2010.0,100.0,-40.0,-1.95,2120.0,100000.0,2160.0,50000.0,2200.0,50000.0,4100.0,2050.0,2010.0,ACB,24450.0,24.39,-0.06,19323.0,2.5204:1,0
1,CACB2305,SSI,7/10/2024,1240.0,580.0,910.0,890.0,532400.0,900.0,454000.0,910.0,458700.0,920.0,500.0,10.0,1.1,920.0,4000.0,930.0,462800.0,940.0,509200.0,150000.0,920.0,880.0,ACB,24450.0,24.8,0.35,20163.0,5.0408:1,0
2,CACB2402,SSI,10/10/2024,1250.0,10.0,400.0,380.0,454600.0,390.0,459600.0,400.0,454100.0,410.0,700.0,10.0,2.5,420.0,460300.0,430.0,554700.0,440.0,453800.0,146500.0,410.0,370.0,ACB,24450.0,26.82,2.37,26000.0,2:01,0
3,CFPT2314,SSI,7/1/2025,6970.0,4830.0,5900.0,5820.0,135800.0,5830.0,31700.0,5840.0,32000.0,5870.0,400.0,-30.0,-0.51,5860.0,8900.0,5870.0,475400.0,5880.0,334300.0,863700.0,5900.0,5760.0,FPT,133100.0,137.03,3.93,86348.0,8.6348:1,0
4,CFPT2317,VND,19/11/2024,4330.0,2910.0,3620.0,3560.0,4400.0,3570.0,3900.0,3580.0,200.0,3610.0,200.0,-10.0,-0.28,3620.0,28400.0,3630.0,2300.0,3640.0,5600.0,46400.0,3620.0,3550.0,FPT,133100.0,133.97,0.87,87212.0,12.9522:1,0
5,CFPT2401,HSC,4/12/2024,3060.0,920.0,1990.0,1890.0,1800.0,1900.0,600.0,1920.0,59400.0,1920.0,600.0,-70.0,-3.52,1930.0,300.0,1940.0,300.0,1950.0,1500.0,344300.0,1990.0,1840.0,FPT,133100.0,141.35,8.25,124773.0,8.6348:1,0
6,CHPG2316,KIS,19/09/2024,1380.0,400.0,890.0,,,400.0,100.0,500.0,2600.0,790.0,100.0,-100.0,-11.24,700.0,4800.0,790.0,1100.0,880.0,1000.0,1100.0,790.0,500.0,HPG,26050.0,29.13,3.08,26258.0,3.6358:1,0
7,CHPG2331,SSI,7/10/2024,710.0,50.0,380.0,380.0,23000.0,390.0,10000.0,400.0,107700.0,400.0,385400.0,20.0,5.26,410.0,32800.0,420.0,72000.0,440.0,25900.0,850300.0,400.0,340.0,HPG,26050.0,27.63,1.58,25450.0,5.4537:1,0
8,CHPG2332,SSI,7/11/2024,790.0,130.0,460.0,430.0,6600.0,440.0,1000.0,450.0,300.0,470.0,500.0,10.0,2.17,470.0,29500.0,480.0,25100.0,490.0,135000.0,278200.0,480.0,430.0,HPG,26050.0,28.47,2.42,25905.0,5.4537:1,0
9,CHPG2333,SSI,5/12/2024,850.0,190.0,520.0,490.0,112300.0,500.0,82300.0,510.0,10500.0,520.0,600.0,0.0,0.0,520.0,29200.0,530.0,69700.0,540.0,42600.0,72000.0,530.0,500.0,HPG,26050.0,29.19,3.14,26359.0,5.4537:1,0
10,CHPG2334,SSI,7/1/2025,770.0,290.0,530.0,500.0,33700.0,510.0,400.0,530.0,19200.0,530.0,16100.0,0.0,0.0,540.0,64300.0,550.0,184700.0,560.0,107500.0,245700.0,540.0,510.0,HPG,26050.0,30.67,4.62,26814.0,7.2716:1,0
11,CHPG2338,KIS,3/10/2024,790.0,10.0,300.0,210.0,8500.0,250.0,1900.0,260.0,417900.0,300.0,100.0,0.0,0.0,300.0,18600.0,340.0,800.0,350.0,29600.0,117400.0,300.0,260.0,HPG,26050.0,28.36,2.31,27267.0,3.6358:1,0
12,CHPG2339,KIS,2/1/2025,2490.0,510.0,1500.0,1330.0,5100.0,1350.0,10800.0,1520.0,393000.0,1520.0,3100.0,20.0,1.33,1530.0,333300.0,1580.0,15000.0,1600.0,100.0,454900.0,1520.0,1340.0,HPG,26050.0,30.23,4.18,27470.0,1.8179:1,0
13,CHPG2342,VND,19/11/2024,910.0,530.0,720.0,690.0,8500.0,700.0,16700.0,710.0,10200.0,720.0,6600.0,0.0,0.0,720.0,1300.0,730.0,3000.0,740.0,4000.0,56600.0,720.0,700.0,HPG,26050.0,28.36,2.31,21815.0,9.0895:1,0
14,CHPG2402,ACBS,19/05/2025,1930.0,610.0,1270.0,1150.0,100.0,1180.0,60200.0,1190.0,232600.0,1190.0,200000.0,-80.0,-6.3,1270.0,1000.0,1280.0,62000.0,1290.0,17800.0,946600.0,1300.0,1190.0,HPG,26050.0,31.42,5.37,28177.0,2.7268:1,0
15,CHPG2403,HSC,4/3/2025,840.0,10.0,390.0,350.0,44100.0,360.0,36500.0,370.0,10000.0,390.0,30900.0,0.0,0.0,390.0,68800.0,400.0,88300.0,410.0,87000.0,482300.0,390.0,340.0,HPG,26050.0,32.06,6.01,30500.0,4:01,0
16,CHPG2404,SSI,10/10/2024,1010.0,10.0,110.0,70.0,616100.0,80.0,1463500.0,90.0,283900.0,90.0,320000.0,-20.0,-18.18,100.0,33600.0,110.0,1472500.0,120.0,684700.0,1290400.0,100.0,90.0,HPG,26050.0,32.18,6.13,32000.0,2:01,0
17,CHPG2405,SSI,12/11/2024,1060.0,10.0,160.0,140.0,484500.0,150.0,455000.0,160.0,31200.0,160.0,41000.0,0.0,0.0,170.0,727300.0,180.0,505700.0,190.0,679400.0,4767000.0,170.0,120.0,HPG,26050.0,33.32,7.27,33000.0,2:01,0
18,CMBB2315,SSI,7/1/2025,1990.0,1130.0,1560.0,1540.0,562900.0,1550.0,4400.0,1560.0,10000.0,1570.0,2000.0,10.0,0.64,1570.0,246300.0,1580.0,238000.0,1590.0,232200.0,315600.0,1580.0,1500.0,MBB,24550.0,25.71,1.16,19569.0,3.9138:1,0
19,CMBB2318,VND,19/09/2024,2200.0,1340.0,1770.0,1750.0,2800.0,1760.0,2400.0,1770.0,500.0,1770.0,600.0,0.0,0.0,1780.0,10000.0,1790.0,1000.0,1800.0,10900.0,128000.0,1780.0,1700.0,MBB,24550.0,24.54,-0.01,17612.0,3.9138:1,0
20,CMBB2402,ACBS,19/05/2025,2600.0,880.0,1740.0,1630.0,17100.0,1650.0,200.0,1660.0,21900.0,1710.0,100.0,-30.0,-1.72,1710.0,3700.0,1740.0,3600.0,1760.0,100.0,1368900.0,1710.0,1610.0,MBB,24550.0,26.83,2.28,23483.0,1.9569:1,0
21,CMBB2403,HSC,4/12/2024,2370.0,670.0,1520.0,1450.0,100.0,1460.0,100.0,1470.0,1600.0,1540.0,2000.0,20.0,1.32,1560.0,200.0,1580.0,400.0,1600.0,33000.0,248800.0,1560.0,1470.0,MBB,24550.0,26.08,1.53,23000.0,2:01,0
22,CMBB2404,HSC,4/3/2025,2780.0,1080.0,1930.0,1100.0,300.0,1360.0,10000.0,1690.0,30000.0,1810.0,500.0,-120.0,-6.22,1810.0,2000.0,1820.0,1000.0,1870.0,30500.0,57300.0,1810.0,1750.0,MBB,24550.0,27.12,2.57,23500.0,2:01,0
23,CMSN2313,SSI,7/10/2024,1000.0,10.0,460.0,410.0,104200.0,420.0,213400.0,430.0,280900.0,430.0,91600.0,-30.0,-6.52,440.0,205300.0,450.0,255600.0,460.0,245500.0,901900.0,500.0,420.0,MSN,77900.0,84.3,6.4,80000.0,10:01,0
24,CMSN2316,KIS,3/10/2024,830.0,10.0,290.0,250.0,10000.0,260.0,14900.0,270.0,222200.0,280.0,100.0,-10.0,-3.45,280.0,88700.0,310.0,2900.0,320.0,2000.0,78500.0,300.0,260.0,MSN,77900.0,86.78,8.88,83979.0,10:01,0
25,CMSN2317,KIS,2/1/2025,1510.0,170.0,840.0,740.0,222200.0,760.0,1500.0,770.0,1300.0,830.0,100.0,-10.0,-1.19,840.0,1000.0,850.0,1400.0,910.0,1100.0,9400.0,830.0,760.0,MSN,77900.0,93.51,15.61,86868.0,8:01,0
26,CMSN2401,HSC,4/3/2025,1950.0,610.0,1280.0,1170.0,30000.0,1200.0,5900.0,1210.0,48600.0,1280.0,100.0,0.0,0.0,1280.0,4400.0,1290.0,100.0,1300.0,35000.0,75300.0,1310.0,1220.0,MSN,77900.0,92.24,14.34,82000.0,8:01,0
27,CMSN2402,SSI,12/11/2024,2130.0,10.0,1050.0,980.0,50600.0,990.0,100300.0,1000.0,197300.0,1020.0,500.0,-30.0,-2.86,1010.0,109300.0,1020.0,343500.0,1030.0,324400.0,387900.0,1100.0,970.0,MSN,77900.0,88.1,10.2,83000.0,5:01,0
28,CMSN2403,SSI,12/12/2024,1950.0,10.0,870.0,810.0,127100.0,820.0,252400.0,830.0,2500.0,840.0,200.0,-30.0,-3.45,840.0,139200.0,850.0,342500.0,860.0,343400.0,640700.0,910.0,800.0,MSN,77900.0,94.2,16.3,90000.0,5:01,0
29,CMWG2314,SSI,7/1/2025,2620.0,1640.0,2130.0,2090.0,422900.0,2100.0,310700.0,2110.0,30000.0,2120.0,70000.0,-10.0,-0.47,2120.0,167100.0,2140.0,34600.0,2150.0,405000.0,666600.0,2120.0,2050.0,MWG,70000.0,72.62,2.62,51590.0,9.9211:1,0
30,CMWG2401,ACBS,19/05/2025,4160.0,1700.0,2930.0,2820.0,1000.0,2830.0,13500.0,2840.0,100.0,2890.0,8000.0,-40.0,-1.37,2940.0,500.0,2950.0,55000.0,2980.0,4000.0,292500.0,2890.0,2820.0,MWG,70000.0,76.95,6.95,65479.0,3.9685:1,0
31,CMWG2402,HSC,4/12/2024,3120.0,1160.0,2140.0,,,2000.0,2000.0,2050.0,30000.0,2130.0,900.0,-10.0,-0.47,2160.0,500.0,2270.0,30000.0,2300.0,1000.0,134100.0,2130.0,2040.0,MWG,70000.0,74.06,4.06,63495.0,4.9606:1,0
32,CMWG2403,HSC,4/3/2025,3450.0,1490.0,2470.0,,,1500.0,200.0,2410.0,30000.0,2670.0,100.0,200.0,8.1,2670.0,29900.0,,,,,600.0,2670.0,2480.0,MWG,70000.0,77.73,7.73,64487.0,4.9606:1,0
33,CMWG2404,SSI,10/10/2024,2790.0,330.0,1560.0,1540.0,239700.0,1550.0,178500.0,1560.0,300.0,1560.0,200.0,0.0,0.0,1570.0,42100.0,1580.0,20300.0,1590.0,1000.0,124900.0,1560.0,1440.0,MWG,70000.0,74.15,4.15,67960.0,3.9685:1,0
34,CPOW2314,KIS,3/10/2024,1130.0,190.0,660.0,560.0,24400.0,570.0,43400.0,580.0,1300.0,580.0,38000.0,-80.0,-12.12,610.0,1100.0,620.0,6200.0,630.0,12800.0,259400.0,650.0,550.0,POW,13550.0,14.27,0.72,13111.0,2:01,0
35,CPOW2315,KIS,2/1/2025,1390.0,450.0,920.0,840.0,3100.0,860.0,223200.0,870.0,17100.0,890.0,34700.0,-30.0,-3.26,890.0,6800.0,910.0,1500.0,920.0,8100.0,339200.0,930.0,840.0,POW,13550.0,15.24,1.69,13456.0,2:01,0
36,CSHB2305,KIS,3/10/2024,290.0,10.0,150.0,100.0,2500.0,120.0,300.0,130.0,1800.0,150.0,100.0,0.0,0.0,150.0,15000.0,160.0,15000.0,170.0,116900.0,20800.0,150.0,140.0,SHB,10650.0,12.74,2.09,12025.0,4.789:1,0
37,CSHB2306,KIS,2/1/2025,1220.0,480.0,860.0,660.0,100.0,700.0,100.0,710.0,1000.0,840.0,100.0,-20.0,-2.33,840.0,9900.0,850.0,500.0,890.0,300.0,20600.0,990.0,710.0,SHB,10650.0,13.85,3.2,12238.0,1.9156:1,0
38,CSTB2313,KIS,19/09/2024,450.0,10.0,40.0,,,10.0,552700.0,30.0,4400.0,40.0,300.0,0.0,0.0,40.0,33100.0,50.0,248900.0,60.0,200200.0,545000.0,50.0,30.0,STB,29950.0,35.76,5.8,35555.0,5:01,0
39,CSTB2328,SSI,7/1/2025,530.0,30.0,280.0,250.0,462900.0,260.0,622200.0,270.0,452400.0,280.0,300.0,0.0,0.0,280.0,376300.0,290.0,748200.0,300.0,480200.0,869300.0,280.0,260.0,STB,29950.0,35.24,5.29,33000.0,8:01,0
40,CSTB2332,KIS,3/10/2024,480.0,10.0,70.0,40.0,50000.0,50.0,100.0,60.0,509600.0,70.0,100.0,0.0,0.0,70.0,88800.0,80.0,13600.0,100.0,2600.0,43700.0,70.0,60.0,STB,29950.0,36.24,6.29,35888.0,5:01,0
41,CSTB2333,KIS,2/1/2025,1750.0,10.0,730.0,640.0,500.0,670.0,10000.0,720.0,486800.0,730.0,100.0,0.0,0.0,730.0,43200.0,740.0,5000.0,780.0,2500.0,7600.0,890.0,680.0,STB,29950.0,37.57,7.62,36111.0,2:01,0
42,CSTB2337,VND,19/11/2024,940.0,360.0,650.0,620.0,7800.0,630.0,3300.0,640.0,2400.0,650.0,100.0,0.0,0.0,650.0,600.0,660.0,8200.0,670.0,8100.0,260300.0,690.0,610.0,STB,29950.0,31.55,1.6,27000.0,7:01,0
43,CSTB2402,ACBS,19/05/2025,2120.0,760.0,1440.0,1390.0,10200.0,1400.0,6100.0,1420.0,5700.0,1450.0,100.0,10.0,0.69,1450.0,100.0,1460.0,5900.0,1520.0,100.0,231600.0,1460.0,1390.0,STB,29950.0,34.35,4.4,30000.0,3:01,0
44,CSTB2403,HSC,4/12/2024,1260.0,240.0,750.0,250.0,1000.0,300.0,1000.0,680.0,30000.0,750.0,5000.0,0.0,0.0,760.0,30000.0,990.0,1000.0,,,205400.0,750.0,690.0,STB,29950.0,33.0,3.05,30000.0,4:01,0
45,CSTB2404,HSC,4/3/2025,1410.0,390.0,900.0,640.0,20000.0,840.0,30000.0,870.0,199500.0,880.0,200000.0,-20.0,-2.22,900.0,10000.0,940.0,30000.0,,,480800.0,880.0,870.0,STB,29950.0,34.52,4.57,31000.0,4:01,0
46,CSTB2405,SSI,12/11/2024,1760.0,10.0,740.0,710.0,455600.0,720.0,181400.0,730.0,321000.0,750.0,400.0,10.0,1.35,750.0,453600.0,760.0,454200.0,770.0,454800.0,15600.0,750.0,700.0,STB,29950.0,34.0,4.05,32500.0,2:01,0
47,CSTB2406,SSI,10/10/2024,1650.0,10.0,630.0,590.0,453600.0,600.0,174500.0,610.0,307100.0,630.0,7800.0,0.0,0.0,630.0,446600.0,640.0,455700.0,650.0,454300.0,145300.0,630.0,580.0,STB,29950.0,32.76,2.81,31500.0,2:01,0
48,CSTB2407,SSI,12/12/2024,980.0,10.0,470.0,440.0,454400.0,450.0,248600.0,460.0,454200.0,470.0,400.0,0.0,0.0,470.0,461400.0,480.0,461800.0,490.0,456100.0,21000.0,470.0,450.0,STB,29950.0,34.88,4.93,33000.0,4:01,0
49,CTCB2309,BSC,23/09/2024,4690.0,2570.0,3630.0,3600.0,1600.0,3610.0,2000.0,3650.0,2000.0,3700.0,200.0,70.0,1.93,3700.0,600.0,3710.0,500.0,3720.0,2000.0,27600.0,3700.0,3610.0,TCB,22400.0,22.35,-0.05,16972.0,1.4548:1,0
