Date,Stock,Price
2024-06-25T00:00:00,VN30,1288.8
2024-06-25T00:00:00,ACB,24.05
2024-06-25T00:00:00,FPT,130
2024-06-25T00:00:00,HDB,22.6
2024-06-25T00:00:00,HPG,28.7
2024-06-25T00:00:00,MBB,22.6
2024-06-25T00:00:00,MSN,73.9
2024-06-25T00:00:00,MWG,62
2024-06-25T00:00:00,POW,15
2024-06-25T00:00:00,SHB,11.4
2024-06-25T00:00:00,STB,29.6
2024-06-25T00:00:00,TCB,24
2024-06-25T00:00:00,TPB,17.55
2024-06-25T00:00:00,VHM,37.8
2024-06-25T00:00:00,VIB,21.3
2024-06-25T00:00:00,VIC,41.2
2024-06-25T00:00:00,VNM,65.5
2024-06-25T00:00:00,VPB,19
2024-06-25T00:00:00,VRE,21.3
2024-06-24T00:00:00,VN30,1289.85
2024-06-24T00:00:00,ACB,24.1
2024-06-24T00:00:00,FPT,132.1
2024-06-24T00:00:00,HDB,22.35
2024-06-24T00:00:00,HPG,28.7
2024-06-24T00:00:00,MBB,22.65
2024-06-24T00:00:00,MSN,73.7
2024-06-24T00:00:00,MWG,62
2024-06-24T00:00:00,POW,15
2024-06-24T00:00:00,SHB,11.3
2024-06-24T00:00:00,STB,29.5
2024-06-24T00:00:00,TCB,23.95
2024-06-24T00:00:00,TPB,17.4
2024-06-24T00:00:00,VHM,37.45
2024-06-24T00:00:00,VIB,21.3
2024-06-24T00:00:00,VIC,41.1
2024-06-24T00:00:00,VNM,65.5
2024-06-24T00:00:00,VPB,18.85
2024-06-24T00:00:00,VRE,19.95
2024-06-21T00:00:00,VN30,1319.93
2024-06-21T00:00:00,ACB,24.55
2024-06-21T00:00:00,FPT,136.1
2024-06-21T00:00:00,HDB,23.15
2024-06-21T00:00:00,HPG,29.05
2024-06-21T00:00:00,MBB,23.2
2024-06-21T00:00:00,MSN,76.2
2024-06-21T00:00:00,MWG,63.5
2024-06-21T00:00:00,POW,14.7
2024-06-21T00:00:00,SHB,11.55
2024-06-21T00:00:00,STB,30.65
2024-06-21T00:00:00,TCB,24.5
2024-06-21T00:00:00,TPB,18.1
2024-06-21T00:00:00,VHM,37.75
2024-06-21T00:00:00,VIB,21.8
2024-06-21T00:00:00,VIC,41.65
2024-06-21T00:00:00,VNM,66
2024-06-21T00:00:00,VPB,19.6
2024-06-21T00:00:00,VRE,20
2024-06-20T00:00:00,VN30,1322.36
2024-06-20T00:00:00,ACB,24.8
2024-06-20T00:00:00,FPT,133.3
2024-06-20T00:00:00,HDB,23.6
2024-06-20T00:00:00,HPG,29.35
2024-06-20T00:00:00,MBB,23.25
2024-06-20T00:00:00,MSN,75.8
2024-06-20T00:00:00,MWG,63.5
2024-06-20T00:00:00,POW,15.1
2024-06-20T00:00:00,SHB,11.6
2024-06-20T00:00:00,STB,30.75
2024-06-20T00:00:00,TCB,24.8
2024-06-20T00:00:00,TPB,18.25
2024-06-20T00:00:00,VHM,38
2024-06-20T00:00:00,VIB,22
2024-06-20T00:00:00,VIC,41.45
2024-06-20T00:00:00,VNM,66
2024-06-20T00:00:00,VPB,19.7
2024-06-20T00:00:00,VRE,20.25
2024-06-19T00:00:00,VN30,1314.22
2024-06-19T00:00:00,ACB,24.65
2024-06-19T00:00:00,FPT,131.5
2024-06-19T00:00:00,HDB,23.7
2024-06-19T00:00:00,HPG,29.35
2024-06-19T00:00:00,MBB,23.3
2024-06-19T00:00:00,MSN,75.6
2024-06-19T00:00:00,MWG,63.3
2024-06-19T00:00:00,POW,14.95
2024-06-19T00:00:00,SHB,11.6
2024-06-19T00:00:00,STB,30.9
2024-06-19T00:00:00,TCB,24.15
2024-06-19T00:00:00,TPB,18.04915
2024-06-19T00:00:00,VHM,38
2024-06-19T00:00:00,VIB,22
2024-06-19T00:00:00,VIC,41.5
2024-06-19T00:00:00,VNM,65.3
2024-06-19T00:00:00,VPB,19
2024-06-19T00:00:00,VRE,20.65
2024-06-18T00:00:00,VN30,1309.89
2024-06-18T00:00:00,ACB,24.55
2024-06-18T00:00:00,FPT,128
2024-06-18T00:00:00,HDB,23.7
2024-06-18T00:00:00,HPG,29.4
2024-06-18T00:00:00,MBB,23.25
2024-06-18T00:00:00,MSN,76.2
2024-06-18T00:00:00,MWG,62.2
2024-06-18T00:00:00,POW,14.9
2024-06-18T00:00:00,SHB,11.6
2024-06-18T00:00:00,STB,30.55
2024-06-18T00:00:00,TCB,24.4
2024-06-18T00:00:00,TPB,18.0978
2024-06-18T00:00:00,VHM,38.3
2024-06-18T00:00:00,VIB,22.05
2024-06-18T00:00:00,VIC,42.1
2024-06-18T00:00:00,VNM,65.9
2024-06-18T00:00:00,VPB,18.6
2024-06-18T00:00:00,VRE,21.1
2024-06-17T00:00:00,VN30,1309.7
2024-06-17T00:00:00,ACB,24.55
2024-06-17T00:00:00,FPT,128.8
2024-06-17T00:00:00,HDB,23.55
2024-06-17T00:00:00,HPG,29.45
2024-06-17T00:00:00,MBB,23.25
2024-06-17T00:00:00,MSN,76.2
2024-06-17T00:00:00,MWG,62
2024-06-17T00:00:00,POW,13.95
2024-06-17T00:00:00,SHB,11.65
2024-06-17T00:00:00,STB,30.5
2024-06-17T00:00:00,TCB,24.3
2024-06-17T00:00:00,TPB,18.04915
2024-06-17T00:00:00,VHM,38.3
2024-06-17T00:00:00,VIB,22.05
2024-06-17T00:00:00,VIC,42
2024-06-17T00:00:00,VNM,66
2024-06-17T00:00:00,VPB,18.75
2024-06-17T00:00:00,VRE,21.15
2024-06-14T00:00:00,VN30,1316.46
2024-06-14T00:00:00,ACB,24.6
2024-06-14T00:00:00,FPT,131
2024-06-14T00:00:00,HDB,23.95
2024-06-14T00:00:00,HPG,29.1
2024-06-14T00:00:00,MBB,23.1
2024-06-14T00:00:00,MSN,78
2024-06-14T00:00:00,MWG,63
2024-06-14T00:00:00,POW,13.75
2024-06-14T00:00:00,SHB,11.7
2024-06-14T00:00:00,STB,30.55
2024-06-14T00:00:00,TCB,24.55
2024-06-14T00:00:00,TPB,18.14645
2024-06-14T00:00:00,VHM,38.2
2024-06-14T00:00:00,VIB,22.5
2024-06-14T00:00:00,VIC,42
2024-06-14T00:00:00,VNM,66.2
2024-06-14T00:00:00,VPB,18.7
2024-06-14T00:00:00,VRE,21.45
2024-06-13T00:00:00,VN30,1333.85
2024-06-13T00:00:00,ACB,24.8
2024-06-13T00:00:00,FPT,130
2024-06-13T00:00:00,HDB,24.1
2024-06-13T00:00:00,HPG,29.5
2024-06-13T00:00:00,MBB,23.55
2024-06-13T00:00:00,MSN,78.6
2024-06-13T00:00:00,MWG,64
2024-06-13T00:00:00,POW,14.15
2024-06-13T00:00:00,SHB,12
2024-06-13T00:00:00,STB,31.65
2024-06-13T00:00:00,TCB,24.7
